Commodity,APMC,Year,Month,min_price,max_price,APMC_commodity,fluct_price
bajri,balapur,2015,November,1400,1400,balapur+bajri,100
bajri,baramati,2014,September,1469,1854,baramati+bajri,398
bajri,baramati,2015,October,1493,2017,baramati+bajri,524
bajri,baramati,2016,September,1721,2334,baramati+bajri,644
bajri,barshi,2014,September,1611,1750,barshi+bajri,300
bajri,barshi,2015,September,1655,1729,barshi+bajri,196
bajri,barshi,2016,September,1900,1900,barshi+bajri,156
bajri,beed,2014,September,1375,1693,beed+bajri,363
bajri,beed,2015,September,1434,1813,beed+bajri,486
bajri,beed,2016,September,1618,1908,beed+bajri,328
bajri,bhokar,2014,September,1261,1635,bhokar+bajri,374
bajri,bhokardan,2015,October,1283,1357,bhokardan+bajri,81
bajri,bhokardan,2016,September,1433,1490,bhokardan+bajri,92
bajri,bhokardan-pimpalgaon renu,2015,October,1289,1378,bhokardan-pimpalgaon renu+bajri,89
bajri,bhokardan-pimpalgaon renu,2016,September,1500,1550,bhokardan-pimpalgaon renu+bajri,90
bajri,bhusaval,2015,September,1300,1300,bhusaval+bajri,100
bajri,bhusaval,2016,September,1644,1775,bhusaval+bajri,225
bajri,chalisgaon,2014,September,1224,1379,chalisgaon+bajri,260
bajri,chalisgaon,2015,September,1314,1581,chalisgaon+bajri,273
bajri,chalisgaon,2016,September,1449,1905,chalisgaon+bajri,510
bajri,chikhali,2016,May,1461,1632,chikhali+bajri,301
bajri,chopda,2014,September,1230,1353,chopda+bajri,123
bajri,chopda,2015,September,1412,1520,chopda+bajri,153
bajri,chopda,2016,September,1697,1792,chopda+bajri,253
bajri,devala,2014,September,1304,1555,devala+bajri,251
bajri,devala,2015,September,1411,1573,devala+bajri,229
bajri,devala,2016,September,1607,1955,devala+bajri,382
bajri,dharangaon,2016,September,1702,1737,dharangaon+bajri,231
bajri,dhule,2014,September,1055,1512,dhule+bajri,508
bajri,dhule,2015,September,1535,1637,dhule+bajri,378
bajri,dhule,2016,September,1602,2050,dhule+bajri,626
bajri,digras,2015,September,1325,1550,digras+bajri,255
bajri,dondaicha,2014,September,1306,1518,dondaicha+bajri,212
bajri,dondaicha,2015,September,1299,1523,dondaicha+bajri,333
bajri,dondaicha,2016,September,1424,1819,dondaicha+bajri,444
bajri,dondaicha-sindkheda,2015,December,1240,1366,dondaicha-sindkheda+bajri,126
bajri,dondaicha-sindkheda,2016,September,1507,1817,dondaicha-sindkheda+bajri,310
bajri,dound,2014,November,1389,1639,dound+bajri,348
bajri,dound,2015,September,1499,1975,dound+bajri,543
bajri,dound,2016,September,1683,2100,dound+bajri,775
bajri,dudhani,2014,September,1130,1625,dudhani+bajri,496
bajri,dudhani,2015,September,1500,1598,dudhani+bajri,229
bajri,dudhani,2016,September,1688,2721,dudhani+bajri,1042
bajri,gangapur,2014,September,1316,1543,gangapur+bajri,228
bajri,gangapur,2015,September,1568,1723,gangapur+bajri,240
bajri,gangapur,2016,September,1755,2144,gangapur+bajri,628
bajri,gevrai,2014,September,1290,1495,gevrai+bajri,298
bajri,gevrai,2015,September,1397,1851,gevrai+bajri,698
bajri,gevrai,2016,September,1680,1898,gevrai+bajri,455
bajri,ghansawangi,2014,October,1425,1600,ghansawangi+bajri,300
bajri,ghansawangi,2015,September,1613,1725,ghansawangi+bajri,112
bajri,ghansawangi,2016,September,1600,1867,ghansawangi+bajri,267
bajri,indapur,2014,November,1500,1741,indapur+bajri,241
bajri,indapur,2015,September,1567,1750,indapur+bajri,311
bajri,indapur,2016,September,1826,2011,indapur+bajri,649
bajri,indapur (nimgaon ketki),2015,September,1438,1638,indapur (nimgaon ketki)+bajri,430
bajri,indapur (nimgaon ketki),2016,September,1771,1889,indapur (nimgaon ketki)+bajri,307
bajri,indapur-bhigwan,2014,November,1420,1838,indapur-bhigwan+bajri,418
bajri,indapur-bhigwan,2015,September,1433,2006,indapur-bhigwan+bajri,606
bajri,indapur-bhigwan,2016,September,1613,2191,indapur-bhigwan+bajri,820
bajri,jalgaon,2014,September,1400,1449,jalgaon+bajri,95
bajri,jalgaon,2015,September,1516,1532,jalgaon+bajri,133
bajri,jalgaon,2016,September,1792,1812,jalgaon+bajri,116
bajri,jalgaon-masawat,2016,September,1700,1728,jalgaon-masawat+bajri,28
bajri,jalna,2014,September,1134,1762,jalna+bajri,712
bajri,jalna,2015,September,1289,1828,jalna+bajri,582
bajri,jalna,2016,September,1670,2018,jalna+bajri,733
bajri,jalna-badnapur,2014,October,1450,1450,jalna-badnapur+bajri,300
bajri,jalna-badnapur,2015,September,1375,1392,jalna-badnapur+bajri,150
bajri,jalna-badnapur,2016,September,1675,1725,jalna-badnapur+bajri,163
bajri,jamkhed,2014,September,1329,1503,jamkhed+bajri,196
bajri,jamkhed,2015,September,1486,1633,jamkhed+bajri,188
bajri,jamkhed,2016,September,1620,1920,jamkhed+bajri,328
bajri,kada,2014,September,1278,1695,kada+bajri,444
bajri,kada,2015,September,1442,1626,kada+bajri,371
bajri,kada,2016,September,1579,1975,kada+bajri,494
bajri,kada (ashti),2014,September,1250,1365,kada (ashti)+bajri,115
bajri,kada (ashti),2015,May,1225,1315,kada (ashti)+bajri,315
bajri,kada (ashti),2016,September,1851,1851,kada (ashti)+bajri,450
bajri,kalamb (os),2014,September,1429,1721,kalamb (os)+bajri,292
bajri,kalamb (os),2015,September,1653,1653,kalamb (os)+bajri,258
bajri,kalamb (os),2016,September,1656,1773,kalamb (os)+bajri,226
bajri,kalvan,2014,October,1132,1460,kalvan+bajri,359
bajri,kalvan,2015,September,1386,1520,kalvan+bajri,235
bajri,kalvan,2016,September,1594,3006,kalvan+bajri,1412
bajri,kalyan,2015,September,1600,1867,kalyan+bajri,367
bajri,kalyan,2016,September,1858,2067,kalyan+bajri,350
bajri,kannad,2014,September,1250,1395,kannad+bajri,150
bajri,kannad,2015,October,1226,1412,kannad+bajri,208
bajri,kannad,2016,September,1651,1871,kannad+bajri,313
bajri,karanja,2014,November,1595,1600,karanja+bajri,7
bajri,karanja,2015,January,1656,1775,karanja+bajri,200
bajri,karmala,2014,November,1417,1742,karmala+bajri,325
bajri,karmala,2016,September,1851,1901,karmala+bajri,493
bajri,kej,2014,September,1592,1871,kej+bajri,279
bajri,kej,2015,September,1564,1961,kej+bajri,544
bajri,kej,2016,September,1424,1864,kej+bajri,513
bajri,khamgaon,2014,September,1266,1394,khamgaon+bajri,181
bajri,khamgaon,2015,September,1355,1531,khamgaon+bajri,232
bajri,khamgaon,2016,September,1619,1665,khamgaon+bajri,115
bajri,kille dharur,2014,September,1389,1830,kille dharur+bajri,491
bajri,kille dharur,2015,June,1416,2113,kille dharur+bajri,722
bajri,kille dharur,2016,September,1816,2059,kille dharur+bajri,526
bajri,kolhapur-laxmipuri,2014,September,1620,1753,kolhapur-laxmipuri+bajri,200
bajri,kolhapur-laxmipuri,2015,January,1350,1800,kolhapur-laxmipuri+bajri,783
bajri,kolhapur-laxmipuri,2016,May,1842,2148,kolhapur-laxmipuri+bajri,354
bajri,kopargaon,2014,September,1224,1503,kopargaon+bajri,408
bajri,kopargaon,2015,September,1443,1606,kopargaon+bajri,416
bajri,kopargaon,2016,September,1725,2018,kopargaon+bajri,415
bajri,kurdwadi,2015,March,1451,1551,kurdwadi+bajri,100
bajri,kurdwadi,2016,September,1421,1421,kurdwadi+bajri,45
bajri,kurdwadi-modnimb,2015,January,1351,1375,kurdwadi-modnimb+bajri,24
bajri,kurdwadi-modnimb,2016,September,1483,1684,kurdwadi-modnimb+bajri,269
bajri,lasalgaon,2014,September,1289,1615,lasalgaon+bajri,427
bajri,lasalgaon,2015,September,1412,1803,lasalgaon+bajri,496
bajri,lasalgaon,2016,September,1564,2240,lasalgaon+bajri,855
bajri,lasalgaon-vinchur,2015,September,1575,1670,lasalgaon-vinchur+bajri,263
bajri,lasalgaon-vinchur,2016,September,1868,2003,lasalgaon-vinchur+bajri,406
bajri,lasur station,2014,September,1161,1600,lasur station+bajri,474
bajri,lasur station,2015,September,1330,1621,lasur station+bajri,438
bajri,lasur station,2016,September,1632,1870,lasur station+bajri,434
bajri,latur,2014,September,1171,1592,latur+bajri,448
bajri,latur,2015,October,1397,1874,latur+bajri,477
bajri,latur,2016,September,1665,1974,latur+bajri,360
bajri,lohara,2016,January,1273,1370,lohara+bajri,100
bajri,lonand,2014,September,1290,1967,lonand+bajri,684
bajri,lonand,2015,September,1375,1901,lonand+bajri,584
bajri,lonand,2016,September,1700,2160,lonand+bajri,530
bajri,lonar,2015,November,1310,1396,lonar+bajri,86
bajri,lonar,2016,April,1500,1900,lonar+bajri,400
bajri,majalgaon,2014,September,1187,1707,majalgaon+bajri,609
bajri,majalgaon,2015,September,1413,2168,majalgaon+bajri,1103
bajri,majalgaon,2016,September,1711,2175,majalgaon+bajri,635
bajri,malegaon,2014,September,1253,1598,malegaon+bajri,347
bajri,malegaon,2015,September,1375,1767,malegaon+bajri,432
bajri,malegaon,2016,September,1662,2118,malegaon+bajri,566
bajri,malkapur,2014,September,1500,1500,malkapur+bajri,200
bajri,malkapur,2015,September,1325,1441,malkapur+bajri,217
bajri,malkapur,2016,September,1793,1793,malkapur+bajri,545
bajri,mangalwedha,2014,September,1413,1534,mangalwedha+bajri,128
bajri,mangalwedha,2015,October,1640,1640,mangalwedha+bajri,142
bajri,mangalwedha,2016,September,1888,1888,mangalwedha+bajri,226
bajri,manmad,2014,September,1311,1573,manmad+bajri,418
bajri,manmad,2015,September,1415,1653,manmad+bajri,334
bajri,manmad,2016,September,1606,1975,manmad+bajri,559
bajri,mantha,2015,November,1519,1619,mantha+bajri,125
bajri,mantha,2016,September,1700,1700,mantha+bajri,100
bajri,manwat,2015,October,1450,1735,manwat+bajri,285
bajri,manwat,2016,May,1784,1850,manwat+bajri,300
bajri,mumbai,2014,November,1500,2000,mumbai+bajri,500
bajri,murum,2014,September,1468,2809,murum+bajri,1405
bajri,murum,2015,October,1529,1569,murum+bajri,98
bajri,murum,2016,September,1784,1784,murum+bajri,60
bajri,nampur,2016,September,1800,1800,nampur+bajri,312
bajri,nandgaon,2014,September,1327,1610,nandgaon+bajri,376
bajri,nandgaon,2015,September,1377,1720,nandgaon+bajri,376
bajri,nandgaon,2016,September,1578,1931,nandgaon+bajri,393
bajri,nandura,2014,October,1237,1420,nandura+bajri,233
bajri,nandura,2015,September,1236,1530,nandura+bajri,294
bajri,nandura,2016,September,1600,1811,nandura+bajri,271
bajri,nandurbar,2014,September,1125,1534,nandurbar+bajri,517
bajri,nandurbar,2015,September,1198,1639,nandurbar+bajri,448
bajri,nandurbar,2016,September,1482,1844,nandurbar+bajri,534
bajri,newasa,2014,September,1364,1443,newasa+bajri,79
bajri,newasa,2015,October,1419,1419,newasa+bajri,50
bajri,newasa,2016,September,1750,1750,newasa+bajri,187
bajri,nira-saswad,2016,September,1627,2340,nira-saswad+bajri,820
bajri,pachora,2015,September,1460,1499,pachora+bajri,97
bajri,pachora,2016,September,1592,1865,pachora+bajri,462
bajri,paithan,2014,November,1367,1524,paithan+bajri,157
bajri,paithan,2015,September,1406,1581,paithan+bajri,251
bajri,paithan,2016,September,1517,2328,paithan+bajri,888
bajri,pandharpur,2015,July,1383,1384,pandharpur+bajri,1
bajri,pandharpur,2016,September,1925,1931,pandharpur+bajri,117
bajri,parli-vaijnath,2014,September,1696,1746,parli-vaijnath+bajri,62
bajri,parli-vaijnath,2015,September,1536,1724,parli-vaijnath+bajri,210
bajri,parli-vaijnath,2016,September,1691,1691,parli-vaijnath+bajri,110
bajri,parola,2015,November,1260,1476,parola+bajri,299
bajri,parola,2016,September,1614,1793,parola+bajri,406
bajri,partur,2014,November,1315,1461,partur+bajri,146
bajri,partur,2015,October,1392,1601,partur+bajri,215
bajri,partur,2016,September,1590,1702,partur+bajri,209
bajri,pathardi,2014,September,1286,1548,pathardi+bajri,262
bajri,pathardi,2015,September,2600,1529,pathardi+bajri,248
bajri,pathardi,2016,September,1350,1789,pathardi+bajri,513
bajri,pathari,2015,September,1372,1479,pathari+bajri,462
bajri,pathari,2016,September,1480,1632,pathari+bajri,847
bajri,phaltan,2014,September,1350,2138,phaltan+bajri,800
bajri,phaltan,2015,October,1294,1965,phaltan+bajri,690
bajri,phaltan,2016,September,1617,2357,phaltan+bajri,1082
bajri,pusad,2014,October,1452,1852,pusad+bajri,412
bajri,pusad,2015,September,1503,1808,pusad+bajri,455
bajri,pusad,2016,September,1893,2120,pusad+bajri,675
bajri,rahata,2014,September,1385,1421,rahata+bajri,122
bajri,rahata,2015,September,1425,1445,rahata+bajri,175
bajri,rahata,2016,September,1641,1715,rahata+bajri,235
bajri,rahuri,2014,September,1352,1385,rahuri+bajri,34
bajri,rahuri,2015,May,1442,1454,rahuri+bajri,12
bajri,rahuri-songaon,2016,May,1300,1550,rahuri-songaon+bajri,250
bajri,rahuri-vambori,2014,September,1420,1620,rahuri-vambori+bajri,349
bajri,rahuri-vambori,2015,September,1686,1686,rahuri-vambori+bajri,198
bajri,rahuri-vambori,2016,September,1829,1922,rahuri-vambori+bajri,468
bajri,raver,2014,September,1575,1575,raver+bajri,215
bajri,raver,2015,September,1600,1600,raver+bajri,50
bajri,raver,2016,October,1695,1695,raver+bajri,253
bajri,sailu,2014,October,1600,1600,sailu+bajri,35
bajri,sailu,2015,November,1551,1551,sailu+bajri,60
bajri,sailu,2016,October,1611,1611,sailu+bajri,50
bajri,sakri,2014,October,1207,1284,sakri+bajri,77
bajri,sakri,2015,October,1376,1469,sakri+bajri,93
bajri,sakri,2016,September,1638,1732,sakri+bajri,333
bajri,sangali,2014,September,1333,1825,sangali+bajri,509
bajri,sangali,2015,September,1403,1829,sangali+bajri,527
bajri,sangali,2016,September,1793,2067,sangali+bajri,421
bajri,sangamner,2014,September,1350,1730,sangamner+bajri,392
bajri,sangamner,2015,September,1411,2983,sangamner+bajri,1572
bajri,sangamner,2016,September,1763,2045,sangamner+bajri,474
bajri,satana,2014,September,1274,1653,satana+bajri,506
bajri,satana,2015,September,1403,1764,satana+bajri,393
bajri,satana,2016,September,1669,2082,satana+bajri,562
bajri,shahada,2014,September,2034,1526,shahada+bajri,122
bajri,shahada,2015,September,1403,2766,shahada+bajri,1375
bajri,shahada,2016,September,1802,1824,shahada+bajri,113
bajri,shegaon,2014,November,1248,1270,shegaon+bajri,22
bajri,shegaon,2015,September,1409,1605,shegaon+bajri,301
bajri,shegaon,2016,September,1617,1617,shegaon+bajri,48
bajri,shevgaon,2014,September,1165,1452,shevgaon+bajri,292
bajri,shevgaon,2015,September,1415,1589,shevgaon+bajri,351
bajri,shevgaon,2016,September,1629,1854,shevgaon+bajri,314
bajri,shevgaon-bodhegaon,2014,September,1274,1460,shevgaon-bodhegaon+bajri,221
bajri,shevgaon-bodhegaon,2015,September,1400,1591,shevgaon-bodhegaon+bajri,207
bajri,shevgaon-bodhegaon,2016,September,1598,1782,shevgaon-bodhegaon+bajri,375
bajri,shirpur,2014,September,1002,1434,shirpur+bajri,494
bajri,shirpur,2015,September,1247,1585,shirpur+bajri,413
bajri,shirpur,2016,September,1508,1807,shirpur+bajri,521
bajri,shirur,2014,September,1386,1477,shirur+bajri,95
bajri,shirur,2015,September,1381,1523,shirur+bajri,202
bajri,shirur,2016,September,1659,1831,shirur+bajri,246
bajri,shrigonda,2015,December,1500,1567,shrigonda+bajri,67
bajri,shrigonda,2016,September,1925,2000,shrigonda+bajri,425
bajri,shrirampur,2014,September,1340,1564,shrirampur+bajri,297
bajri,shrirampur,2015,September,1477,1647,shrirampur+bajri,220
bajri,shrirampur,2016,September,1840,1880,shrirampur+bajri,340
bajri,shrirampur-belapur,2016,October,1756,1756,shrirampur-belapur+bajri,206
bajri,sillod,2014,November,1320,1420,sillod+bajri,100
bajri,sillod,2015,September,1256,1350,sillod+bajri,271
bajri,sillod,2016,September,1550,1700,sillod+bajri,184
bajri,sillod-bharadi,2014,November,1100,1317,sillod-bharadi+bajri,217
bajri,sillod-bharadi,2015,October,1200,1250,sillod-bharadi+bajri,50
bajri,sillod-bharadi,2016,September,1580,1750,sillod-bharadi+bajri,225
bajri,sindkhed raja,2015,December,1200,1400,sindkhed raja+bajri,200
bajri,sinner,2014,September,1152,1539,sinner+bajri,444
bajri,sinner,2015,September,1338,1674,sinner+bajri,399
bajri,sinner,2016,September,1605,2002,sinner+bajri,510
bajri,solapur,2014,September,1400,1464,solapur+bajri,262
bajri,solapur,2015,October,1586,1651,solapur+bajri,475
bajri,solapur,2016,September,1902,1902,solapur+bajri,410
bajri,sonpeth,2015,November,1544,1686,sonpeth+bajri,150
bajri,sonpeth,2016,September,1671,1671,sonpeth+bajri,244
bajri,taloda,2014,November,1340,1448,taloda+bajri,123
bajri,taloda,2015,October,1545,1585,taloda+bajri,110
bajri,taloda,2016,May,1710,1860,taloda+bajri,225
bajri,tuljapur,2016,September,1600,1600,tuljapur+bajri,41
bajri,ulhasnagar,2016,October,1585,2177,ulhasnagar+bajri,592
bajri,umarga,2014,October,1183,1319,umarga+bajri,170
bajri,umarga,2015,September,1480,1502,umarga+bajri,205
bajri,umarga,2016,September,1470,1504,umarga+bajri,370
bajri,vaduj,2014,September,1400,1563,vaduj+bajri,163
bajri,vaduj,2015,September,1467,1667,vaduj+bajri,200
bajri,vaduj,2016,September,1744,1878,vaduj+bajri,171
bajri,vadvani,2016,November,1600,1670,vadvani+bajri,70
bajri,vaijapur,2014,September,1275,1532,vaijapur+bajri,368
bajri,vaijapur,2015,October,1544,1793,vaijapur+bajri,262
bajri,vaijapur,2016,September,1827,2030,vaijapur+bajri,335
bajri,vasai,2014,October,1450,1950,vasai+bajri,500
bajri,vasai,2015,May,1333,1800,vasai+bajri,467
bajri,washim,2015,January,1450,1550,washim+bajri,100
bajri,yawal,2015,November,1100,1275,yawal+bajri,275
bajri,yawal,2016,May,1200,1500,yawal+bajri,300
bajri,yeola,2014,September,1272,1470,yeola+bajri,225
bajri,yeola,2015,September,1408,1575,yeola+bajri,256
bajri,yeola,2016,September,1748,1976,yeola+bajri,423
banana,akluj,2014,September,650,1200,akluj+banana,700
banana,akluj,2015,September,475,845,akluj+banana,600
banana,akluj,2016,September,600,1310,akluj+banana,950
banana,anajngaon surji,2014,September,980,1175,anajngaon surji+banana,225
banana,anajngaon surji,2015,September,700,900,anajngaon surji+banana,300
banana,anajngaon surji,2016,September,988,1188,anajngaon surji+banana,300
banana,aurangabad,2014,September,364,745,aurangabad+banana,440
banana,aurangabad,2015,September,600,650,aurangabad+banana,300
banana,aurangabad,2016,January,160,302,aurangabad+banana,142
banana,baramati,2014,November,1200,1365,baramati+banana,165
banana,baramati,2015,April,200,250,baramati+banana,50
banana,chalisgaon,2016,March,208,340,chalisgaon+banana,132
banana,chandrapur,2014,September,800,2025,chandrapur+banana,1225
banana,chandrapur,2015,September,809,1141,chandrapur+banana,496
banana,chandrapur,2016,September,1118,2095,chandrapur+banana,1030
banana,indapur,2014,November,1117,1255,indapur+banana,138
banana,indapur,2015,September,601,1632,indapur+banana,1074
banana,indapur,2016,September,1025,1138,indapur+banana,288
banana,jalgaon,2014,September,326,494,jalgaon+banana,207
banana,jalgaon,2015,September,314,461,jalgaon+banana,175
banana,jalgaon,2016,September,345,483,jalgaon+banana,161
banana,jalna,2014,September,477,1440,jalna+banana,963
banana,jalna,2015,September,500,1000,jalna+banana,500
banana,jalna,2016,February,175,400,jalna+banana,225
banana,kalyan,2014,October,900,1000,kalyan+banana,100
banana,kalyan,2015,March,900,1000,kalyan+banana,200
banana,kalyan,2016,March,867,1267,kalyan+banana,400
banana,karad,2014,November,1086,1543,karad+banana,457
banana,karad,2015,September,814,1379,karad+banana,570
banana,karad,2016,September,1008,1472,karad+banana,464
banana,kolhapur,2015,September,813,875,kolhapur+banana,69
banana,kolhapur,2016,September,1210,1286,kolhapur+banana,104
banana,mumbai-fruit market,2016,September,1250,1650,mumbai-fruit market+banana,400
banana,nagpur,2014,September,450,550,nagpur+banana,100
banana,nagpur,2015,September,450,740,nagpur+banana,290
banana,nagpur,2016,September,594,750,nagpur+banana,156
banana,nashik,2016,August,908,2038,nashik+banana,1130
banana,nashik-devlali,2016,May,840,1100,nashik-devlali+banana,300
banana,pandharpur,2014,September,1081,1344,pandharpur+banana,467
banana,pandharpur,2015,September,732,921,pandharpur+banana,447
banana,pandharpur,2016,September,1016,1392,pandharpur+banana,542
banana,sangrampur,2015,September,400,550,sangrampur+banana,150
banana,shrirampur,2015,November,425,600,shrirampur+banana,175
banana,solapur,2014,September,561,1193,solapur+banana,632
banana,solapur,2015,September,519,1020,solapur+banana,586
banana,solapur,2016,September,971,1198,solapur+banana,517
banana,ulhasnagar,2015,December,625,1011,ulhasnagar+banana,386
banana,ulhasnagar,2016,September,387,800,ulhasnagar+banana,452
banana,yawal,2014,November,692,1125,yawal+banana,433
banana,yawal,2015,November,455,543,yawal+banana,95
banana,yawal,2016,September,840,1430,yawal+banana,874
batbati,aheri,2015,October,4500,4500,aheri+batbati,166
batbati,aheri,2016,September,4929,4929,aheri+batbati,138
batbati,akola,2016,September,3511,4200,akola+batbati,1600
batbati,karanja,2015,March,4850,5328,karanja+batbati,478
batbati,pusad,2016,September,5700,5700,pusad+batbati,799
bedana,sangali,2015,September,9700,22940,sangali+bedana,13240
bedana,sangali,2016,September,10000,19736,sangali+bedana,9736
bedana,tasgaon,2015,September,11963,18067,tasgaon+bedana,9033
bedana,tasgaon,2016,September,6620,32470,tasgaon+bedana,26287
beet root,amarawati,2015,October,2400,2500,amarawati+beet root,186
beet root,amarawati,2016,September,2355,2591,amarawati+beet root,236
beet root,amarawati-fruit and vegetables,2016,September,2062,2300,amarawati-fruit and vegetables+beet root,238
